BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,2905,26, ,A9,1667 WASHINGTON AVENUE                   ,            ,10457,1,0,1,"4,750","3,167",1899, 	1 ,A9,$0,10/5/07
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3030,59, ,A1,418 EAST 182ND                           ,            ,10457,1,0,1,"1,165","1,488",1899, 	1 ,A1,"$475,000",2/16/07
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3035,52, ,A1,461 E. 178TH STREET                      ,            ,10457,1,0,1,"1,782","1,548",1899, 	1 ,A1,"$376,300",6/15/07
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3037,42, ,A1,4428 PARK AVENUE                         ,            ,10457,1,0,1,"3,525","1,340",1899, 	1 ,A1,"$200,000",5/23/07
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3037,42, ,A1,4428 PARK AVENUE                         ,            ,10457,1,0,1,"3,525","1,340",1899, 	1 ,A1,$0,5/16/07
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,  ,3038,34, ,  ,2263 WASHINGTON AVENUE                   ,            ,10457,0,0,0,0,0,0, 	1 ,A1,"$950,000",9/12/07
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3039,28, ,A1,2329 WASHINGTON AVE                      ,            ,10458,1,0,1,"1,103","1,290",1910, 	1 ,A1,"$5,000",8/12/07
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3039,29, ,A9,2327 WASHINGTON AVE                      ,            ,10458,1,0,1,"1,095","1,260",1910, 	1 ,A9,"$5,000",3/30/07
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3047,11, ,A1,482 EAST 181 STREET                      ,            ,10457,1,0,1,"1,556","1,240",1901, 	1 ,A1,"$172,000",1/11/07
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3048,27, ,A1,538 EAST 182 STREET                      ,            ,10457,1,0,1,"1,209","1,048",1901, 	1 ,A1,$0,5/17/07
