BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6360,75, ,A5,72 BAY 10TH STREET                       ,            ,11228,1,0,1,"2,513","1,428",1930, 	1 ,A5,"$155,356",8/11/09
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6360,157, ,A5,36 BAY 10TH STREET                       ,            ,11228,1,0,1,"1,547","1,428",1930, 	1 ,A5,"$505,000",3/5/09
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6364,2, ,A5,1649 BENSON AVENUE                       ,            ,11214,1,0,1,"1,638",972,1930, 	1 ,A5,$0,10/23/09
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6364,8, ,B3,1631 BENSON AVENUE                       ,            ,11214,2,0,2,"2,688","1,867",1930, 	1 ,A1,"$410,000",3/11/09
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6364,72, ,A5,68 BAY 14TH   STREET                     ,            ,11214,1,0,1,"1,950",972,1950, 	1 ,A5,"$455,000",8/21/09
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6365,43, ,S1,1684 86TH   STREET                       ,            ,11214,1,1,2,"1,833","1,656",1931, 	1 ,S1,"$725,000",3/20/09
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6379,20, ,A1,51 BAY28 STREET                          ,            ,11214,1,0,1,"2,900","1,512",1901, 	1 ,A1,$0,4/7/09
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6395,15, ,A9,147 BAY 10TH   STREET                    ,            ,11228,1,0,1,"1,933","2,391",1925, 	1 ,A9,$0,10/7/09
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,  ,6397,6, ,  ,1611 BATH AVENUE                         ,            ,11214,0,0,0,0,0,0, 	1 ,A1,"$725,000",12/29/09
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6399,7, ,S1,1657 BATH AVENUE                         ,            ,11214,1,1,2,"1,260","1,440",1930, 	1 ,S1,$0,7/29/09
