BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
1,ALPHABET CITY            ,01  ONE FAMILY HOMES                        ,1,376,43, ,S1,743 EAST 6TH   STREET                    ,            ,10009,1,1,2,"2,090","3,680",1940, 	1 ,S1,$10,8/26/11
1,ALPHABET CITY            ,02  TWO FAMILY HOMES                        ,1,373,1, ,S2,40 AVENUE C                              ,            ,10009,2,1,3,"1,923","4,800",1901, 	1 ,S2,$0,12/21/11
1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2A,372,31, ,C3,316 EAST 3RD   STREET                    ,            ,10009,4,0,4,"5,746","2,700",1900, 	2 ,C3,"$3,500,000",9/8/11
1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2,376,54, ,C4,719 E 6TH  ST                            ,            ,10009,16,0,16,"3,437","9,180",1900, 	2 ,C4,"$2,966,835",7/25/11
1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2,377,2, ,C7,116 AVENUE C                             ,            ,10009,22,3,25,"4,510","19,830",1900, 	2 ,C7,$0,6/10/11
1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2B,384,17, ,C4,225 EAST 2ND   STREET                    ,            ,10009,10,0,10,"2,145","6,670",1900, 	2 ,C4,$0,11/3/11
1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2B,384,18, ,C4,227 EAST 2ND   STREET                    ,            ,10009,10,0,10,"2,100","6,525",1900, 	2 ,C4,$0,11/3/11
1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2B,384,26, ,C4,243 EAST 2ND   STREET                    ,            ,10009,10,0,10,"1,600","7,060",1900, 	2 ,C4,"$1,400,000",1/31/11
1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2B,384,27, ,C4,245 EAST 2ND   STREET                    ,            ,10009,10,0,10,"1,600","6,950",1900, 	2 ,C4,"$800,000",1/31/11
1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2,389,22, ,C7,208 EAST 7TH                             ,            ,10009,28,2,30,"4,544","19,418",1900, 	2 ,C7,"$11,000,000",9/1/11
1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2B,389,31, ,C7,226 E 7TH ST                             ,            ,10009,9,1,10,"1,757","8,004",1900, 	2 ,C7,"$2,845,000",4/27/11
1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2,392,37, ,C7,145 AVENUE C                             ,            ,10009,25,5,30,"3,839","18,836",1900, 	2 ,C7,"$9,740,000",12/1/11
1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2,394,65, ,C4,607 EAST 11TH STREET                     ,            ,10009,20,0,20,"2,581","9,765",1900, 	2 ,C4,"$4,100,000",5/6/11
1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2,398,26, ,C1,192 EAST 3RD STREET                      ,            ,10009,20,0,20,"2,568","9,270",1900, 	2 ,C1,$0,12/5/11
1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2,399,38, ,C7,199 EAST 3RD STREET                      ,            ,10009,10,5,15,"1,923","10,398",1900, 	2 ,C7,"$2,800,000",11/7/11
1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2A,400,19, ,C3,526 EAST 5TH STREET                      ,            ,10009,4,0,4,"1,883","3,885",1900, 	2 ,C3,"$3,200,000",3/31/11
1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2B,400,56, ,C4,203 EAST 4TH   STREET                    ,            ,10009,9,1,10,"2,404","6,975",1900, 	2 ,C4,"$3,400,000",5/25/11
