BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
2,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1,3028,25, ,A5,412 EAST 179TH STREET                    ,            ,10457,1,0,1,"1,842","2,048",1901, 	1 ,A5," $	355,000.00 ",7/8/13
2,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1,3039,28, ,A1,2329 WASHINGTON AVENUE                   ,            ,10458,1,0,1,"1,103","1,290",1910, 	1 ,A1," $	120,000.00 ",11/14/13
2,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1,3039,28, ,A1,2329 WASHINGTON AVENUE                   ,            ,10458,1,0,1,"1,103","1,290",1910, 	1 ,A1," $	474,819.00 ",5/20/13
2,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1,3046,39, ,A1,2075 BATHGATE AVENUE                     ,            ,10457,1,0,1,"1,986","1,344",1899, 	1 ,A1," $	210,000.00 ",3/12/13
2,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1,3046,52, ,A1,2047 BATHGATE AVENUE                     ,            ,10457,1,0,1,"2,329","1,431",1901, 	1 ,A1," $	343,116.00 ",7/1/13
2,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1,3048,53, ,S1,4411 3 AVENUE                            ,            ,10457,1,1,2,"2,569","3,750",1931, 	1 ,S1," $	225,000.00 ",8/15/13
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,2927,130, ,B1,1467 CROTONA PLACE                       ,            ,10456,2,0,2,"1,900","2,394",1994, 	1 ,B1," $	380,000.00 ",11/4/13
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,2929,117, ,B1,3860 3 AVENUE                            ,            ,10457,2,0,2,"2,498","2,394",1995, 	1 ,B1," $	390,000.00 ",6/24/13
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3030,60, ,B3,4469 PARK AVENUE                         ,            ,10457,2,0,2,"1,542","1,542",1899, 	1 ,B3," $	207,000.00 ",6/27/13
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3035,27, ,B1,454 EAST 179 STREET                      ,            ,10457,2,0,2,"1,819","2,340",1998, 	1 ,B1, $	-00 ,7/1/13
